T1,T2,T3,T4
102.6928,32.0,961.8,30.2
104.2558,32.0,961.8,30.2
102.9616,32.0,961.8,30.2
103.8521,32.0,961.8,30.2
105.8393,32.0,961.8,30.2
104.7331,32.0,961.8,30.2
105.0268,32.0,961.8,30.2
105.3422,32.0,961.7,30.9
103.6668,32.0,961.7,30.9
103.1941,32.0,961.7,30.9
100.6108,32.0,961.7,30.9
101.2597,32.0,961.7,30.9
103.2419,32.0,961.7,30.9
103.7388,32.0,961.7,30.9
102.9778,32.0,961.7,30.9
101.3137,32.0,961.7,30.9
102.1749,32.0,961.7,30.9
102.9775,32.0,961.7,30.1
101.6603,32.0,961.7,30.1
101.1432,32.0,961.7,30.1
103.3792,32.0,961.7,30.1
103.3415,32.0,961.7,30.1
102.6247,32.0,961.7,30.1
100.4716,32.0,961.7,30.1
99.3167,32.0,961.7,30.1
98.9813,32.0,961.7,30.1
98.8274,32.0,961.7,30.1
100.7418,32.0,961.6,30.2
101.4152,32.0,961.6,30.2
100.8665,32.0,961.6,30.2
100.9772,32.0,961.6,30.2
100.7598,32.0,961.6,30.2
101.8114,32.0,961.6,30.2
99.4313,32.0,961.6,30.2
98.3313,32.0,961.6,30.2
98.3966,32.0,961.6,30.2
98.63931,32.0,961.6,30.2
98.3237,32.0,961.6,30.5
98.39429,32.0,961.6,30.5
98.742,32.0,961.6,30.5
100.7807,32.0,961.6,30.5
99.741,32.0,961.6,30.5
100.2267,32.0,961.6,30.5
100.9804,32.0,961.6,30.5
100.6692,32.0,961.6,30.5
102.2183,32.0,961.6,30.5
102.4344,32.0,961.6,30.5
102.8897,32.0,961.5,30.5
103.4657,32.0,961.5,30.5
100.9937,32.0,961.5,30.5
101.4477,32.0,961.5,30.5
101.5816,32.0,961.5,30.5
102.8528,32.0,961.5,30.5
103.1597,32.0,961.5,30.5
101.383,32.0,961.5,30.5
101.1491,32.0,961.5,30.5
99.8305,32.0,961.5,30.5
99.8372,32.0,961.5,30.2
99.81,32.0,961.5,30.2
98.2663,32.0,961.5,30.2
99.3967,32.0,961.5,30.2
100.723,32.0,961.5,30.2
99.9263,32.0,961.5,30.2
99.59641,32.0,961.5,30.2
99.6694,32.0,961.5,30.2
99.0975,32.0,961.5,30.2
99.7025,32.0,961.5,30.2
99.3526,33.0,961.4,30.1
100.3017,33.0,961.4,30.1
101.4559,33.0,961.4,30.1
100.9734,33.0,961.4,30.1
102.3128,33.0,961.4,30.1
102.7041,33.0,961.4,30.1
103.5715,33.0,961.4,30.1
104.4138,33.0,961.4,30.1
103.9904,33.0,961.4,30.1
102.445,33.0,961.4,30.1
102.5843,34.0,961.3,30.2
101.2079,34.0,961.3,30.2
101.8298,34.0,961.3,30.2
101.242,34.0,961.3,30.2
99.68999,34.0,961.3,30.2
100.8996,34.0,961.3,30.2
101.638,34.0,961.3,30.2
102.9137,34.0,961.3,30.2
103.6005,34.0,961.3,30.2
104.8489,34.0,961.3,30.2
104.0059,34.0,961.4,30.1
104.1015,34.0,961.4,30.1
104.1736,34.0,961.4,30.1
103.7347,34.0,961.4,30.1
104.1539,34.0,961.4,30.1
102.9481,34.0,961.4,30.1
103.317,34.0,961.4,30.1
102.8063,34.0,961.4,30.1
103.4539,34.0,961.4,30.1
103.2903,34.0,961.4,30.1
101.6707,34.0,961.3,29.4
103.5556,34.0,961.3,29.4
105.7696,34.0,961.3,29.4
103.3885,34.0,961.3,29.4
103.1343,34.0,961.3,29.4
101.5802,34.0,961.3,29.4
102.4517,34.0,961.3,29.4
101.97,34.0,961.3,29.4
104.525,34.0,961.3,29.4
102.9343,34.0,961.3,29.4
104.7325,36.0,961.4,28.6
105.0232,36.0,961.4,28.6
102.4709,36.0,961.4,28.6
101.6157,36.0,961.4,28.6
101.6997,36.0,961.4,28.6
100.9102,36.0,961.4,28.6
101.3984,36.0,961.4,28.6
99.0272,36.0,961.4,28.6
99.8668,36.0,961.4,28.6
97.7383,36.0,961.4,28.6
99.1739,36.0,961.3,28.4
100.374,36.0,961.3,28.4
103.0783,36.0,961.3,28.4
102.0589,36.0,961.3,28.4
105.0169,36.0,961.3,28.4
103.9774,36.0,961.3,28.4
102.2965,36.0,961.3,28.4
102.8868,36.0,961.3,28.4
101.762,36.0,961.3,28.4
100.5324,36.0,961.3,28.4
99.3955,38.0,961.2,28.0
100.4446,38.0,961.2,28.0
100.8185,38.0,961.2,28.0
102.3536,38.0,961.2,28.0
102.6493,38.0,961.2,28.0
101.7932,38.0,961.2,28.0
103.4084,38.0,961.2,28.0
102.052,38.0,961.2,28.0
101.958,38.0,961.2,28.0
101.7063,38.0,961.2,28.0
102.3543,39.0,961.2,27.5
102.9058,39.0,961.2,27.5
102.7756,39.0,961.2,27.5
101.6136,39.0,961.2,27.5
101.2616,39.0,961.2,27.5
99.4685,39.0,961.2,27.5
99.6558,39.0,961.2,27.5
98.6298,39.0,961.2,27.5
99.1541,39.0,961.2,27.5
100.3171,39.0,961.2,27.5
99.68391,42.0,961.2,26.9
99.5814,42.0,961.2,26.9
100.3599,42.0,961.2,26.9
100.679,42.0,961.2,26.9
99.8591,42.0,961.2,26.9
101.3235,42.0,961.2,26.9
100.5111,42.0,961.2,26.9
99.5338,42.0,961.2,26.9
99.4929,42.0,961.2,26.9
98.1449,42.0,961.2,26.9
98.4017,43.0,961.2,26.3
99.6691,43.0,961.2,26.3
99.6536,43.0,961.2,26.3
100.5394,43.0,961.2,26.3
100.5707,43.0,961.2,26.3
